,dim1,dim2,dim3,label
0,2.7461897547255165,1.600218947529471,-1.6508594036895703,lentil
1,-0.47143614248661037,0.5282415758276646,0.8075243728655598,banana
2,-2.182727732714087,2.5115858664883084,0.05251840133784225,apple
3,0.32531786222084397,-0.6661618196992023,-0.2516577175011877,pomegranate
4,3.185111967903988,0.5383220839061945,-0.8219275927109864,mungbean
5,0.7783629106794423,-0.046919240441012824,-0.7098783866343807,mothbeans
6,0.022565346976144342,-0.33727254244182014,1.196385637385835,cotton
7,-2.175855379262502,2.700128936686498,0.030921728080451807,apple
8,-2.128430447278845,3.373393883799478,0.41810721241889004,grapes
9,0.7918666538952931,-0.40156557054148434,1.2846218792752133,cotton
10,-0.4104176773209063,0.33225990053764565,1.0106172102674214,banana
11,2.526986340300362,-0.1213012790724076,-0.5447271114541516,mungbean
12,-1.341013013552559,-1.1074640366795254,0.1478458870722323,jute
13,-0.9689841577190778,-0.9030258397292931,-1.3777067752470957,pigeonpeas
14,1.1066137263849252,-0.5491011469702861,1.2804426561083613,maize
15,3.902690175370614,0.8312232313048374,-0.9258079929473013,mothbeans
16,-2.224011555240829,2.803556277967615,0.15942054503850228,apple
17,-0.15772306608212894,-0.7083832135657637,-0.39276231892058777,pomegranate
18,0.20799176254168641,-1.9121776876538306,-0.5559953414110053,orange
19,1.5943510392045985,0.3052816515358806,-0.5209019411699838,blackgram
20,-0.05182993977412099,-0.8182953253112042,1.921574078365074,cotton
21,-0.7622015286085045,-0.779551996499708,1.1520634609973037,coffee
22,0.7111724189611177,0.23483011760201275,-1.4855948153640215,pigeonpeas
23,-2.3864942566586835,-0.8035503507046824,-1.459624085392233,pigeonpeas
24,0.4662573296853025,0.04722052873294781,2.7019031731986285,watermelon
25,1.6173083592564752,0.03652058923846319,-0.11659230520413032,blackgram
26,-1.9830893412889175,-1.3441207108183326,0.5187141324072916,coffee
27,-2.235326778160742,2.6456497656220126,0.03969103954377378,apple
28,-0.6092286113496672,0.26203173649794964,0.8490315096032779,banana
